Title,Votes,Link
Why is processing a sorted array faster than processing an unsorted array?,27487,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array
How do I undo the most recent local commits in Git?,27128,https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git
How do I delete a Git branch locally and remotely?,20364,https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely
What is the difference between 'git pull' and 'git fetch'?,14017,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
"What does the ""yield"" keyword do in Python?",13109,https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do-in-python
How can I remove a specific item from an array in JavaScript?,12217,https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array-in-javascript
How can I rename a local Git branch?,11980,https://stackoverflow.com/questions/6591213/how-can-i-rename-a-local-git-branch
Which JSON content type do I use?,11652,https://stackoverflow.com/questions/477816/which-json-content-type-do-i-use
How do I undo 'git add' before commit?,11576,https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit
What is the '-->' operator in C/C++?,10242,https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c-c
